,year,artists,song_count,cumsum
334,1954,Bob Dylan,0.0,0.0
335,1954,Эрнест Хемингуэй,0.0,1215.0
336,1954,Ignacio Corsini,0.0,620.0
337,1954,Johnny Cash,3.0,8.0
338,1954,Frank Sinatra,18.0,77.0
339,1954,Francisco Canaro,0.0,938.0
340,1955,Francisco Canaro,0.0,938.0
341,1955,Elvis Presley,0.0,0.0
342,1955,The Beach Boys,0.0,0.0
343,1955,Эрнест Хемингуэй,0.0,1215.0
344,1955,Frank Sinatra,16.0,93.0
345,1955,Bob Dylan,0.0,0.0
346,1955,Johnny Cash,5.0,13.0
347,1955,Ignacio Corsini,0.0,620.0
348,1955,The Rolling Stones,0.0,0.0
349,1955,Эрих Мария Ремарк,0.0,781.0
350,1956,Ignacio Corsini,0.0,620.0
351,1956,Frank Sinatra,15.0,108.0
352,1956,The Beach Boys,0.0,0.0
353,1956,The Rolling Stones,0.0,0.0
354,1956,Johnny Cash,4.0,17.0
355,1956,Эрих Мария Ремарк,0.0,781.0
356,1956,Эрнест Хемингуэй,0.0,1215.0
357,1956,Elvis Presley,24.0,24.0
358,1956,Bob Dylan,0.0,0.0
359,1956,Francisco Canaro,0.0,938.0
360,1957,Ignacio Corsini,0.0,620.0
361,1957,The Rolling Stones,0.0,0.0
362,1957,Johnny Cash,32.0,49.0
363,1957,Эрих Мария Ремарк,0.0,781.0
364,1957,Frank Sinatra,61.0,169.0
365,1957,Elvis Presley,25.0,49.0
366,1957,Francisco Canaro,0.0,938.0
367,1957,Bob Dylan,0.0,0.0
368,1957,Эрнест Хемингуэй,0.0,1215.0
369,1957,The Beach Boys,0.0,0.0
370,1958,Francisco Canaro,0.0,938.0
371,1958,Elvis Presley,26.0,75.0
372,1958,The Beach Boys,0.0,0.0
373,1958,Frank Sinatra,43.0,212.0
374,1958,Эрих Мария Ремарк,0.0,781.0
375,1958,Ignacio Corsini,0.0,620.0
376,1958,Bob Dylan,0.0,0.0
377,1958,The Rolling Stones,0.0,0.0
378,1958,Johnny Cash,53.0,102.0
379,1958,Эрнест Хемингуэй,0.0,1215.0
380,1959,Francisco Canaro,0.0,938.0
381,1959,Эрих Мария Ремарк,0.0,781.0
382,1959,Bob Dylan,0.0,0.0
383,1959,Johnny Cash,38.0,140.0
384,1959,The Rolling Stones,0.0,0.0
385,1959,Ignacio Corsini,0.0,620.0
386,1959,Frank Sinatra,29.0,241.0
387,1959,The Beach Boys,0.0,0.0
388,1959,Эрнест Хемингуэй,0.0,1215.0
389,1959,Elvis Presley,34.0,109.0
390,1960,Эрнест Хемингуэй,0.0,1215.0
391,1960,The Rolling Stones,0.0,0.0
392,1960,The Beach Boys,0.0,0.0
393,1960,Эрих Мария Ремарк,0.0,781.0
394,1960,Elvis Presley,36.0,145.0
395,1960,Ignacio Corsini,0.0,620.0
396,1960,Frank Sinatra,30.0,271.0
397,1960,Johnny Cash,39.0,179.0
398,1960,Francisco Canaro,0.0,938.0
399,1960,Bob Dylan,0.0,0.0
400,1961,Frank Sinatra,57.0,328.0
401,1961,Эрих Мария Ремарк,0.0,781.0
402,1961,The Rolling Stones,0.0,0.0
403,1961,Ignacio Corsini,0.0,620.0
404,1961,Elvis Presley,25.0,170.0
405,1961,Francisco Canaro,0.0,938.0
406,1961,Bob Dylan,0.0,0.0
407,1961,Johnny Cash,13.0,192.0
408,1961,The Beach Boys,0.0,0.0
409,1961,Эрнест Хемингуэй,0.0,1215.0
410,1962,Frank Sinatra,60.0,388.0
411,1962,Ignacio Corsini,0.0,620.0
412,1962,Bob Dylan,13.0,13.0
413,1962,The Rolling Stones,0.0,0.0
414,1962,The Beach Boys,12.0,12.0
415,1962,Francisco Canaro,0.0,938.0
416,1962,Johnny Cash,32.0,224.0
417,1962,Elvis Presley,19.0,189.0
418,1962,Эрнест Хемингуэй,0.0,1215.0
419,1962,Эрих Мария Ремарк,0.0,781.0
420,1963,Эрих Мария Ремарк,0.0,781.0
421,1963,The Rolling Stones,0.0,0.0
422,1963,Bob Dylan,73.0,86.0
423,1963,Frank Sinatra,20.0,408.0
424,1963,Ignacio Corsini,0.0,620.0
425,1963,Francisco Canaro,0.0,938.0
426,1963,The Beach Boys,108.0,120.0
427,1963,Johnny Cash,21.0,245.0
428,1963,Elvis Presley,35.0,224.0
429,1963,Эрнест Хемингуэй,0.0,1215.0
430,1964,Ignacio Corsini,0.0,620.0
431,1964,Francisco Canaro,0.0,938.0
432,1964,Johnny Cash,39.0,284.0
433,1964,Эрих Мария Ремарк,0.0,781.0
434,1964,Elvis Presley,21.0,245.0
435,1964,The Beach Boys,59.0,179.0
436,1964,Эрнест Хемингуэй,0.0,1215.0
437,1964,The Rolling Stones,43.0,43.0
438,1964,Bob Dylan,21.0,107.0
439,1964,Frank Sinatra,23.0,431.0
440,1965,Johnny Cash,20.0,304.0
441,1965,The Beach Boys,80.0,259.0
442,1965,The Rolling Stones,60.0,103.0
443,1965,Bob Dylan,66.0,173.0
444,1965,Frank Sinatra,37.0,468.0
445,1965,Эрих Мария Ремарк,0.0,781.0
446,1965,Elvis Presley,22.0,267.0
447,1965,Ignacio Corsini,0.0,620.0
448,1965,Francisco Canaro,0.0,938.0
449,1965,Эрнест Хемингуэй,0.0,1215.0
450,1966,Frank Sinatra,54.0,522.0
451,1966,Bob Dylan,72.0,245.0
452,1966,Эрих Мария Ремарк,0.0,781.0
453,1966,The Rolling Stones,70.0,173.0
454,1966,Johnny Cash,8.0,312.0
455,1966,Ignacio Corsini,0.0,620.0
456,1966,Francisco Canaro,0.0,938.0
457,1966,Elvis Presley,13.0,280.0
458,1966,The Beach Boys,103.0,362.0
459,1966,Эрнест Хемингуэй,0.0,1215.0
460,1967,Frank Sinatra,9.0,531.0
461,1967,Bob Dylan,49.0,294.0
462,1967,Elvis Presley,22.0,302.0
463,1967,Эрих Мария Ремарк,0.0,781.0
464,1967,The Rolling Stones,49.0,222.0
465,1967,Francisco Canaro,0.0,938.0
466,1967,Эрнест Хемингуэй,0.0,1215.0
467,1967,The Beach Boys,31.0,393.0
468,1967,Johnny Cash,0.0,312.0
469,1967,Ignacio Corsini,0.0,620.0
470,1968,Frank Sinatra,6.0,537.0
471,1968,Francisco Canaro,0.0,938.0
472,1968,Эрнест Хемингуэй,0.0,1215.0
473,1968,Bob Dylan,0.0,294.0
474,1968,The Rolling Stones,10.0,232.0
475,1968,Johnny Cash,46.0,358.0
476,1968,Ignacio Corsini,0.0,620.0
477,1968,The Beach Boys,12.0,405.0
478,1968,Эрих Мария Ремарк,0.0,781.0
479,1968,Elvis Presley,22.0,324.0
480,1969,Эрнест Хемингуэй,0.0,1215.0
481,1969,Bob Dylan,9.0,303.0
482,1969,The Beach Boys,12.0,417.0
483,1969,Johnny Cash,26.0,384.0
484,1969,Frank Sinatra,13.0,550.0
485,1969,Elvis Presley,27.0,351.0
486,1969,Ignacio Corsini,0.0,620.0
487,1969,Francisco Canaro,0.0,938.0
488,1969,Эрих Мария Ремарк,0.0,781.0
489,1969,The Rolling Stones,28.0,260.0
490,1970,Francisco Canaro,0.0,938.0
491,1970,Эрих Мария Ремарк,0.0,781.0
492,1970,The Rolling Stones,24.0,284.0
493,1970,Johnny Cash,18.0,402.0
494,1970,Эрнест Хемингуэй,0.0,1215.0
495,1970,The Beach Boys,12.0,429.0
496,1970,Bob Dylan,35.0,338.0
497,1970,Ignacio Corsini,0.0,620.0
498,1970,Frank Sinatra,0.0,550.0
499,1970,Elvis Presley,24.0,375.0
500,1971,Johnny Cash,3.0,405.0
501,1971,Elvis Presley,19.0,394.0
502,1971,Ignacio Corsini,0.0,620.0
503,1971,Эрнест Хемингуэй,0.0,1215.0
504,1971,The Rolling Stones,67.0,351.0
505,1971,Frank Sinatra,4.0,554.0
506,1971,The Beach Boys,10.0,439.0
507,1971,Francisco Canaro,0.0,938.0
508,1971,Bob Dylan,19.0,357.0
509,1971,Эрих Мария Ремарк,0.0,781.0
510,1972,Francisco Canaro,0.0,938.0
511,1972,Elvis Presley,20.0,414.0
512,1972,Ignacio Corsini,0.0,620.0
513,1972,Эрнест Хемингуэй,0.0,1215.0
514,1972,Johnny Cash,4.0,409.0
515,1972,Bob Dylan,0.0,357.0
516,1972,Frank Sinatra,0.0,554.0
517,1972,The Rolling Stones,48.0,399.0
518,1972,The Beach Boys,3.0,442.0
519,1972,Эрих Мария Ремарк,0.0,781.0
520,1973,Bob Dylan,14.0,371.0
521,1973,The Rolling Stones,10.0,409.0
522,1973,Elvis Presley,24.0,438.0
523,1973,Ignacio Corsini,0.0,620.0
524,1973,Francisco Canaro,0.0,938.0
525,1973,Эрнест Хемингуэй,0.0,1215.0
526,1973,Эрих Мария Ремарк,0.0,781.0
527,1973,The Beach Boys,4.0,446.0
528,1973,Frank Sinatra,3.0,557.0
529,1973,Johnny Cash,4.0,413.0
530,1974,Эрих Мария Ремарк,0.0,781.0
531,1974,Elvis Presley,4.0,442.0
532,1974,Frank Sinatra,5.0,562.0
533,1974,Francisco Canaro,0.0,938.0
534,1974,The Rolling Stones,18.0,427.0
535,1974,The Beach Boys,21.0,467.0
536,1974,Bob Dylan,31.0,402.0
537,1974,Johnny Cash,6.0,419.0
538,1974,Эрнест Хемингуэй,0.0,1215.0
539,1974,Ignacio Corsini,0.0,620.0
540,1975,Johnny Cash,8.0,427.0
541,1975,Bob Dylan,56.0,458.0
542,1975,The Rolling Stones,4.0,431.0
543,1975,Francisco Canaro,0.0,938.0
544,1975,Эрнест Хемингуэй,0.0,1215.0
545,1975,Эрих Мария Ремарк,0.0,781.0
546,1975,Elvis Presley,8.0,450.0
547,1975,The Beach Boys,2.0,469.0
548,1975,Frank Sinatra,0.0,562.0
549,1975,Ignacio Corsini,0.0,620.0
550,1976,The Rolling Stones,8.0,439.0
551,1976,The Beach Boys,1.0,470.0
552,1976,Frank Sinatra,0.0,562.0
553,1976,Ignacio Corsini,0.0,620.0
554,1976,Bob Dylan,15.0,473.0
555,1976,Elvis Presley,2.0,452.0
556,1976,Francisco Canaro,0.0,938.0
557,1976,Эрнест Хемингуэй,0.0,1215.0
558,1976,Эрих Мария Ремарк,0.0,781.0
559,1976,Johnny Cash,0.0,427.0
560,1977,The Beach Boys,4.0,474.0
561,1977,Ignacio Corsini,0.0,620.0
562,1977,The Rolling Stones,0.0,439.0
563,1977,Эрнест Хемингуэй,0.0,1215.0
564,1977,Эрих Мария Ремарк,0.0,781.0
565,1977,Francisco Canaro,0.0,938.0
566,1977,Bob Dylan,0.0,473.0
567,1977,Frank Sinatra,1.0,563.0
568,1977,Elvis Presley,6.0,458.0
569,1977,Johnny Cash,1.0,428.0
570,1978,Frank Sinatra,0.0,563.0
571,1978,Эрнест Хемингуэй,0.0,1215.0
572,1978,Elvis Presley,0.0,458.0
573,1978,Johnny Cash,3.0,431.0
574,1978,The Rolling Stones,30.0,469.0
575,1978,The Beach Boys,0.0,474.0
576,1978,Эрих Мария Ремарк,0.0,781.0
577,1978,Bob Dylan,9.0,482.0
578,1978,Francisco Canaro,0.0,938.0
579,1978,Ignacio Corsini,0.0,620.0
580,1979,Эрих Мария Ремарк,0.0,781.0
581,1979,The Beach Boys,0.0,474.0
582,1979,Johnny Cash,3.0,434.0
583,1979,Elvis Presley,0.0,458.0
584,1979,Francisco Canaro,0.0,938.0
585,1979,The Rolling Stones,0.0,469.0
586,1979,Frank Sinatra,0.0,563.0
587,1979,Эрнест Хемингуэй,0.0,1215.0
588,1979,Ignacio Corsini,0.0,620.0
589,1979,Bob Dylan,13.0,495.0
590,1980,Эрнест Хемингуэй,0.0,1215.0
591,1980,The Rolling Stones,10.0,479.0
592,1980,Ignacio Corsini,0.0,620.0
593,1980,Эрих Мария Ремарк,0.0,781.0
594,1980,Johnny Cash,1.0,435.0
595,1980,The Beach Boys,0.0,474.0
596,1980,Bob Dylan,2.0,497.0
597,1980,Elvis Presley,0.0,458.0
598,1980,Frank Sinatra,5.0,568.0
599,1980,Francisco Canaro,0.0,938.0
600,1981,Bob Dylan,6.0,503.0
601,1981,Эрих Мария Ремарк,0.0,781.0
602,1981,Frank Sinatra,1.0,569.0
603,1981,Francisco Canaro,0.0,938.0
604,1981,The Beach Boys,0.0,474.0
605,1981,Эрнест Хемингуэй,0.0,1215.0
606,1981,The Rolling Stones,5.0,484.0
607,1981,Ignacio Corsini,0.0,620.0
608,1981,Johnny Cash,1.0,436.0
609,1981,Elvis Presley,0.0,458.0
610,1982,Эрнест Хемингуэй,0.0,1215.0
611,1982,Bob Dylan,0.0,503.0
612,1982,Johnny Cash,0.0,436.0
613,1982,Ignacio Corsini,0.0,620.0
614,1982,Elvis Presley,0.0,458.0
615,1982,The Beach Boys,0.0,474.0
616,1982,Frank Sinatra,0.0,569.0
